"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","trip_note","route_direction"
"SMNW_M","101-02.230522.15","101-02.230522.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.270522.16","101-02.270522.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.280522.32","101-02.280522.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.290522.64","101-02.290522.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.300522.15","101-02.300522.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-03.210222.15","101-03.210222.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.250222.16","101-03.250222.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.260222.32","101-03.260222.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.270222.64","101-03.270222.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.280222.15","101-03.280222.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.040322.16","101-03.040322.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.050322.32","101-03.050322.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.060322.64","101-03.060322.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.070322.15","101-03.070322.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.110322.16","101-03.110322.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.120322.32","101-03.120322.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.130322.64","101-03.130322.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.140322.15","101-03.140322.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.180322.16","101-03.180322.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.190322.32","101-03.190322.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.200322.64","101-03.200322.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.210322.15","101-03.210322.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.250322.16","101-03.250322.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.260322.32","101-03.260322.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.270322.64","101-03.270322.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.280322.15","101-03.280322.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.010422.16","101-03.010422.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.020422.32","101-03.020422.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.030422.64","101-03.030422.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.040422.15","101-03.040422.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.080422.16","101-03.080422.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
